country,stocklong,country,mean.5yr,trend.50yr.coef,Value,FAO group,dollar_per_tonne
USA,Spiny dogfish_Atlantic Coast,USA,14.39279232,0.03264172,4.852839312,"Sharks, rays, chimaeras",1100
USA,Striped bass Gulf of Maine / Cape Hatteras,USA,14.99093123,0.033910738,5.200842345,Miscellaneous coastal fishes,3050
USA,Summer flounder_Mid-Atlantic Coast,USA,23.74233941,0.00456698,4.789908819,"Flounders, halibuts, soles",3050
USA,Swordfish_North Atlantic,USA,19.11414929,0.018903442,4.696061526,"Tunas, bonitos, billfishes",1950
USA,Tanner crab Bering Sea and Aleutian Islands,USA,5.183902327,0.011849879,5.406521336,"Crabs, sea-spiders",4220
USA,Tilefish_Mid-Atlantic Coast,USA,23.74233941,0.00456698,3.184911513,Miscellaneous demersal fishes,2930
USA,Walleye pollock_Aleutian Islands,USA,6.180397204,0.014507572,4.998850121,"Cods, hakes, haddocks",1700
USA,Walleye pollock_Bogoslof,USA,6.043701601,0.014689185,6.575569443,"Cods, hakes, haddocks",1700
USA,Walleye pollock_Eastern Bering Sea,USA,2.537762372,0.338223698,8.761942684,"Cods, hakes, haddocks",1700
USA,Walleye pollock_Western / Central / West Yakutat Gulf of Alaska,USA,9.170206815,0.023490862,6.286272917,"Cods, hakes, haddocks",1700
USA,White hake_Gulf of Maine / Georges Bank,USA,10.16653888,0.018364124,3.558354965,"Cods, hakes, haddocks",1700
USA,White shrimp_Gulf of Mexico,USA,26.3005455,0.013888179,7.087147185,"Shrimps, prawns",4500
USA,Widow rockfish_Pacific Coast,USA,12.69918271,0.00358723,5.44065642,Miscellaneous demersal fishes,2930
USA,Winter flounder_Georges Bank,USA,12.35437945,0.025644008,2.365954181,"Flounders, halibuts, soles",3050
USA,Winter flounder_Gulf of Maine,USA,10.16653888,0.018364124,1.942977281,"Flounders, halibuts, soles",3050
USA,Winter flounder_Southern New England / Mid-Atlantic,USA,10.62801693,0.017259085,2.46572383,"Flounders, halibuts, soles",3050
USA,Witch flounder_Northwestern Atlantic Coast,USA,10.81385254,0.022548938,1.724176318,"Flounders, halibuts, soles",3050
USA,Yelloweye rockfish_Pacific Coast,USA,12.69918271,0.00358723,0.359010066,Miscellaneous demersal fishes,2930
USA,Yellowfin sole_Bering Sea / Aleutian Islands,USA,5.677944652,0.013339074,7.744127485,"Flounders, halibuts, soles",3050
USA,Yellowtail flounder_Cape Cod / Gulf of Maine,USA,10.16653888,0.018364124,1.168045063,"Flounders, halibuts, soles",3050
USA,Yellowtail flounder_Georges Bank,USA,12.35437945,0.025644008,2.509257741,"Flounders, halibuts, soles",3050
USA,Yellowtail flounder_Southern New England / Mid-Atlantic,USA,10.62801693,0.017259085,-0.890622985,"Flounders, halibuts, soles",3050
