,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
34,Pacific herring Strait of Georgia,Canada,Strait of Georgia  ,1951,64,1,1.658318426,0.681881126,0.117783036,-0.56409809,NA,NA,NA,"Herrings, sardines, anchovies",660
35,Pacific herring West Coast of Vancouver Island,Canada,West Vancouver Island ,1951,64,1,0.461832061,-1.421033829,-0.697809194,0.723224636,NA,NA,NA,"Herrings, sardines, anchovies",660
36,Rock sole Hecate Strait,Canada,Hecate Strait  ,1945,69,1,0.797927461,1.41436796,-1.153695048,-2.568063008,NA,NA,NA,"Flounders, halibuts, soles",2700
37,Winter flounder Southern Gulf of St. Lawrence,Canada,S Gulf St Lawrence ,1973,39,1,0.38976378,-0.012805967,-0.004962789,0.007843177,NA,NA,NA,"Flounders, halibuts, soles",2700
38,Albacore tuna South Pacific Ocean,Multinational Tuna Commission,Pacific Ocean,1960,53,1,0.55,-1.141254982,-0.744410256,0.396844726,NA,NA,NA,"Tunas, bonitos, billfishes",1500
39,Atlantic bluefin tuna Eastern Atlantic,Multinational Tuna Commission,Eastern Atlantic,1968,47,2,4.618320611,-1.032038087,-0.36422461,0.667813477,0.798171214,0.778963772,0.019207442,"Tunas, bonitos, billfishes",1500
40,Atlantic bluefin tuna Western Atlantic,Multinational Tuna Commission,Western Atlantic,1974,41,3,0.613333333,0.020331308,0.425533216,0.405201908,0.43941914,0.484462767,0.046038792,"Tunas, bonitos, billfishes",1500
41,Bigeye tuna Indian Ocean,Multinational Tuna Commission,Indian Ocean,1974,40,2,0.410179641,-0.053720773,-0.43098914,-0.377268367,0.085112212,0.286038693,0.20092648,"Tunas, bonitos, billfishes",1500
42,Skipjack tuna Central Western Pacific Ocean,Multinational Tuna Commission,Central Western Pacific Ocean,1972,43,1,1.367213115,0.248081194,0.061781242,-0.186299952,NA,NA,NA,"Tunas, bonitos, billfishes",1500
43,Yellowfin tuna Central Western Pacific Ocean,Multinational Tuna Commission,Central Western Pacific Ocean,1952,63,1,0.265934066,0.527097404,-0.340926587,-0.868023991,NA,NA,NA,"Tunas, bonitos, billfishes",1500
44,Atlantic cod North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,North-East Arctic,1946,72,6,1.503531786,-0.389120057,-0.294619424,0.094500633,0.265394988,0.232769239,0.046295666,"Cods, hakes, haddocks",1650
45,Capelin Barents Sea,Multinational_ICES Arctic Fisheries Working Group,Barents Sea ,1972,45,1,0.63003663,2.919143847,-1.49640548,-4.415549327,NA,NA,NA,Miscellaneous pelagic fishes,640
46,Golden redfish North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,North-East Arctic,1990,27,2,0.39497307,-0.411100542,-0.31821242,0.092888122,0.210270781,0.08650365,0.123767132,"Crabs, sea-spiders",4150
